tenure,Contract,InternetService,PaymentMethod,TotalCharges,MonthlyCharges,PaperlessBilling,StreamingTV,StreamingMovies,Partner,Churn
1,0,1,0,29.85,29.85,1,1,1,1,0
34,1,1,1,1889.5,56.95,0,1,1,0,0
2,0,1,1,108.15,53.85,1,1,1,0,1
45,1,1,2,1840.75,42.3,0,1,1,0,0
2,0,2,0,151.65,70.7,1,1,1,0,1
8,0,2,0,820.5,99.65,1,2,2,0,1
22,0,2,2,1949.4,89.1,1,2,1,0,0
10,0,1,1,301.9,29.75,0,1,1,0,0
28,0,2,0,3046.05,104.8,1,2,2,1,1
62,1,1,2,3487.95,56.15,0,1,1,0,0
13,0,1,1,587.45,49.95,1,1,1,1,0
16,2,0,2,326.8,18.95,0,0,0,0,0
58,1,2,2,5681.1,100.35,0,2,2,1,0
49,0,2,2,5036.3,103.7,1,2,2,0,1
25,0,2,0,2686.05,105.5,1,2,2,0,0
69,2,2,2,7895.15,113.25,0,2,2,1,0
52,1,0,1,1022.95,20.65,0,0,0,0,0
71,2,2,2,7382.25,106.7,0,2,2,0,0
10,0,1,2,528.35,55.2,0,1,1,1,1
21,0,2,0,1862.9,90.05,1,1,2,0,0
1,0,1,0,39.65,39.65,1,1,2,0,1
12,1,0,2,202.25,19.8,0,0,0,1,0
1,0,0,1,20.15,20.15,0,0,0,0,1
58,2,1,2,3505.1,59.9,1,1,1,1,0
49,0,1,2,2970.3,59.6,0,1,1,1,0
30,0,1,2,1530.6,55.3,1,1,1,0,0
47,0,2,0,4749.15,99.35,1,2,2,1,1
1,0,1,0,30.2,30.2,0,1,1,1,1
72,2,1,2,6369.45,90.25,1,2,2,1,0
17,0,1,1,1093.1,64.7,1,2,2,0,1
71,2,2,2,6766.95,96.35,1,1,1,1,0
2,0,2,2,181.65,95.5,1,2,2,1,0
27,1,1,1,1874.45,66.15,0,1,1,1,0
1,0,0,2,20.2,20.2,0,0,0,0,0
1,0,1,2,45.25,45.25,0,1,1,0,0
72,2,2,2,7251.7,99.9,0,2,1,1,0
5,0,2,0,316.9,69.7,1,1,1,0,1
46,0,2,2,3548.3,74.8,1,1,1,0,0
34,0,2,0,3549.25,106.35,1,2,2,0,1
11,0,2,2,1105.4,97.85,1,2,2,0,1
10,1,1,1,475.7,49.55,0,1,1,1,0
70,2,1,2,4872.35,69.2,1,2,1,1,0
17,1,0,1,418.25,20.75,0,0,0,1,0
63,2,1,2,4861.45,79.85,1,2,1,0,0
13,0,1,0,981.45,76.2,1,2,1,1,0
49,0,2,0,3906.7,84.5,1,1,2,0,0
2,0,1,1,97.0,49.25,0,1,1,0,0
2,0,2,0,144.15,80.65,1,2,1,0,1
52,2,1,2,4217.8,79.75,1,2,2,0,0
69,2,1,2,4254.1,64.15,1,1,1,1,0
43,0,2,0,3838.75,90.25,1,2,1,0,0
15,0,2,2,1426.4,99.1,1,2,2,0,1
25,0,1,2,1752.65,69.5,1,2,1,1,0
8,0,2,2,633.3,80.65,1,1,1,1,1
60,1,1,2,4456.35,74.85,1,1,2,1,0
18,0,2,0,1752.55,95.45,1,2,2,0,1
63,1,2,2,6311.2,99.65,1,2,2,1,0
66,1,2,0,7076.35,108.45,1,2,2,1,0
34,2,0,2,894.3,24.95,0,0,0,1,0
72,2,2,2,7853.7,107.5,1,2,2,0,0
47,0,2,0,4707.1,100.5,1,2,2,1,0
60,0,2,2,5450.7,89.9,1,2,1,0,0
72,2,1,2,2962.0,42.1,0,1,1,1,0
18,1,1,2,957.1,54.4,1,1,1,1,0
9,0,2,0,857.25,94.4,0,2,2,0,1
3,0,1,0,244.1,75.3,1,2,2,0,0
47,1,2,0,3650.35,78.9,1,1,1,1,0
31,2,1,1,2497.2,79.2,0,2,2,0,0
50,2,0,2,930.9,20.15,0,0,0,1,0
10,0,2,1,887.35,79.85,1,1,1,0,0
1,0,1,1,49.05,49.05,0,1,1,0,0
52,1,0,0,1090.65,20.4,1,0,0,1,0
64,2,2,2,7099.0,111.6,1,2,2,1,0
62,2,0,2,1424.6,24.25,1,0,0,1,0
3,0,1,2,177.4,64.5,1,1,2,0,0
56,1,2,0,6139.5,110.5,0,2,2,0,0
46,1,1,2,2688.85,55.65,0,1,2,0,0
8,0,1,1,482.25,54.65,0,1,1,1,0
30,0,1,0,2111.3,74.75,1,2,2,0,0
45,1,0,2,1216.6,25.9,1,0,0,1,0
1,0,2,0,79.35,79.35,1,2,1,0,1
11,0,1,0,565.35,50.55,0,2,2,1,0
7,0,2,2,496.9,75.15,1,1,1,1,1
42,0,2,2,4327.5,103.8,1,2,2,0,0
49,2,0,2,973.35,20.15,1,0,0,1,0
9,0,2,2,918.75,99.3,1,2,2,0,0
35,1,1,2,2215.45,62.15,1,2,1,1,0
48,2,0,2,1057.0,20.65,0,0,0,1,0
46,2,0,1,927.1,19.95,1,0,0,1,0
29,0,1,1,1009.25,33.75,0,2,1,1,0
30,0,2,2,2570.2,82.05,0,1,1,1,0
1,0,2,0,74.7,74.7,0,1,1,0,0
66,2,1,1,5714.25,84.0,1,2,2,1,0
65,0,2,2,7107.0,111.05,1,2,2,0,0
72,2,2,2,7459.05,100.9,1,2,2,0,0
12,0,2,0,927.35,78.95,1,1,1,0,1
71,1,1,2,4748.7,66.85,1,1,1,1,0
5,0,0,1,113.85,21.05,0,0,0,0,1
52,2,0,2,1107.2,21.0,0,0,0,0,0
25,0,2,0,2514.5,98.5,1,2,2,1,1
1,0,0,1,20.2,20.2,0,0,0,0,0
1,0,0,0,19.45,19.45,0,0,0,1,0
38,1,2,2,3605.6,95.0,0,2,1,0,0
66,1,1,2,3027.25,45.55,0,2,1,1,0
68,2,2,2,7611.85,110.0,1,2,2,1,1
5,0,1,1,100.2,24.3,0,1,1,0,0
72,1,2,0,7303.05,104.15,1,2,2,1,0
32,1,1,1,927.65,30.15,0,1,1,0,0
43,1,2,1,3921.3,94.35,0,2,2,0,0
72,2,0,2,1363.25,19.4,0,0,0,1,0
55,0,2,0,5238.9,96.75,1,2,1,1,1
52,1,1,2,3042.25,57.95,0,1,1,0,0
43,0,2,0,3954.1,91.65,1,2,1,0,0
37,0,2,0,2868.15,76.5,1,1,1,1,1
64,2,1,0,3423.5,54.6,1,2,2,1,0
3,0,2,0,248.4,89.85,0,2,1,1,0
36,2,1,2,1126.35,31.05,0,1,1,0,0
10,0,2,0,1064.65,100.25,1,2,2,1,1
41,2,0,1,835.15,20.65,0,0,0,0,0
27,0,2,2,2151.6,85.2,1,1,1,1,0
56,1,2,2,5515.45,99.8,1,2,2,1,0
6,0,0,1,112.75,20.7,0,0,0,0,0
3,0,2,0,229.55,74.4,1,1,1,0,1
7,0,1,1,350.35,50.7,0,1,1,1,0
4,0,0,1,62.9,20.85,0,0,0,1,0
33,2,2,0,3027.65,88.95,1,2,1,0,0
27,0,2,0,2135.5,78.05,1,1,1,0,1
72,2,0,2,1723.95,23.55,1,0,0,1,0
1,0,0,1,19.75,19.75,0,0,0,0,0
71,1,1,0,3985.35,56.45,1,2,2,0,0
13,0,2,0,1215.65,85.95,1,1,2,0,0
25,0,1,2,1502.65,58.6,1,2,2,1,1
67,2,1,2,3260.1,50.55,0,1,1,0,0
1,0,1,0,35.45,35.45,1,1,2,0,1
2,0,1,0,81.25,44.35,0,1,1,0,1
43,2,0,2,1188.2,25.7,1,0,0,0,0
23,0,2,2,1778.5,75.0,1,1,1,0,0
